story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
487d8021-b059-428a-aa61-0ad8ca8220a8,5ovvaoaq,human_1AI,0.0,45.0,3.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,4.0,2.0,5.0,5.0
46c14df0-cf51-43e0-aa7f-cb3e70144fdc,fq85qgbr,human_1AI,1.0,75.0,1.0,1.0,1.0,3.0,9.0,2.0,2.0,4.0,8.0,1.0,2.0,1.0
749b1a34-8e70-43fa-bb8b-6fdf0d36ff0e,fabv64v7,human_5AI,0.0,50.0,5.0,5.0,5.0,9.0,7.0,7.0,4.0,8.0,4.0,1.0,2.0,5.0
d9d1d62f-cbfa-473d-884f-e9cda653ce4a,55vf7v1q,human_5AI,1.0,100.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0
00ee16f1-5185-4b84-9c29-5907cc9d5fc7,7h82mfii,human_5AI,1.0,27.0,5.0,5.0,4.0,6.0,6.0,5.0,7.0,6.0,2.0,5.0,6.0,8.0
5b7a516e-a054-4a70-a679-25ff3c8b9387,jyqhpw08,human,0.0,75.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,7.0,1.0,2.0,6.0
d0a5d8c4-a5d8-42e4-9e98-657545cec815,2bfbja13,human,0.0,77.0,7.0,8.0,8.0,8.0,9.0,8.0,6.0,5.0,7.0,8.0,9.0,3.0
3b7cb450-be71-43a3-bf3e-c882572369ec,n4uuvpgu,human,0.0,80.0,3.0,2.0,2.0,4.0,6.0,8.0,6.0,7.0,7.0,5.0,3.0,2.0
6808d151-dca3-4897-8e05-1c8757b1b671,txc44xyk,human_1AI,1.0,75.0,6.0,7.0,6.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,7.0
4e131c0a-d3c7-4c1d-b19b-00eec13972db,43dk7ggs,human_5AI,1.0,100.0,7.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0
435d391a-704a-433d-9e1f-808d5bdf0efa,vxpjyb25,human_1AI,0.0,0.0,7.0,8.0,8.0,8.0,7.0,8.0,2.0,2.0,3.0,8.0,2.0,7.0
173c7706-0e61-4620-9a0e-3df8bbfa845c,25ge2ptz,human,0.0,85.0,7.0,4.0,2.0,8.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,3.0
