story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
c6bc5ab0-7b03-45e5-8d64-2cc554967f75,1,cz08bsei,6.0,6.0,77,6
7dcc5bbc-7c73-4c85-9453-4bbde2ccd115,0,3y3u2f36,3.0,6.0,0,61
4c88b4d8-0718-47ba-b497-80aa8e70405d,1,inja4gcm,2.0,2.0,73,26
722c95e5-f767-4697-8858-fdfbecdc70b0,0,26pdtu21,7.0,7.0,0,71
db6630b5-29db-4042-b79f-beb5e5dc81d1,1,wfad5mkh,2.0,3.0,51,80
a610f7e4-a9a3-428d-8f5c-100f37d872e2,1,b91wd652,3.0,7.0,100,26
6dc842a7-8156-42a7-80fa-d26f74b0d86b,1,sss8lytu,7.0,6.0,50,73
d31c0464-ccb7-42b6-a968-545ee0ee291d,1,okbuensm,6.0,7.0,25,75
b57f6807-026c-4bbe-a71a-18b62635728b,1,c9ai3g5p,5.0,5.0,79,80
3e150849-a7a9-4c64-be45-0134d9afd6fa,1,hwwb6880,5.0,7.0,39,9
0b8ad86c-4e7f-46c2-8145-3d4596d7a13f,0,cppvwugz,5.0,5.0,0,64
5b7a516e-a054-4a70-a679-25ff3c8b9387,0,8uh0j7wa,9.0,9.0,0,25
d4b9806e-ef03-4992-b102-4f39bec52e1e,0,m7dgql39,9.0,9.0,0,50
4bf14b3e-f54f-412f-91f0-e218adf085dc,1,t4pib3d8,5.0,5.0,40,40
f3a6d784-763f-41fb-b889-11f2bcba72d7,0,aaxc45qc,8.0,9.0,0,23
bece387a-c784-43ce-b762-2627cc6456af,0,0mvn5qdw,5.0,6.0,0,25
2da7915a-c2cf-4289-962a-791300100a1a,1,ry2tg9s8,3.0,3.0,62,29
ca42e827-d57f-45f9-ac97-5d943f02dc05,0,y1tzuzig,8.0,8.0,0,12
5587d7fa-61be-4e15-8227-f08cf8dd0e38,0,6wk3ua0d,5.0,5.0,0,33
ec53dfb3-d2d5-4cb7-b6cd-dc4edc501559,0,g3elbr7v,7.0,8.0,0,63
74212755-8bb3-4753-97cc-2c5d79bc918a,0,797xw6ca,7.0,6.0,0,73
4b522f13-32a9-4c49-a11e-68d169ca7654,1,jnwzgj3h,7.0,9.0,47,50
9c0c30d3-f782-4104-8f78-1f824c920485,1,ivwajyh3,7.0,7.0,70,50
36d90373-ec55-4305-996f-5ab6bebec191,1,zf6arycx,4.0,4.0,95,2
e2e71da9-b9ae-4988-a96b-ec2cb9b0382d,1,3xa1cugd,8.0,3.0,49,51
52bf1e70-c9fd-4754-964b-953a0d21a17a,0,z71zj9tq,7.0,6.0,0,50
2be119b4-dee7-426f-b135-2da6580456f1,0,rpe4xorq,9.0,9.0,0,50
01d340cd-bcca-4ef8-bd36-91c2a951b21f,1,g2jhq9wo,1.0,2.0,50,90
1037d4e2-3036-469d-89fc-b7d7baf79b29,1,3s6k6llu,5.0,5.0,60,70
c0002a1c-09c6-4939-8524-acc0671b187b,1,nv078597,6.0,6.0,55,23
8b616451-0c4b-45bf-91eb-75f594b1e5b1,0,tu4sjfrd,7.0,8.0,0,99
2e535ed9-2f1d-4f25-8c66-f00cfd62fbad,0,j2xpzyte,8.0,9.0,0,74
0de8b2d8-dffc-4e21-aae4-ebb3e367ef5d,0,dljk0als,7.0,8.0,0,10
9d30c190-47dd-42fd-915d-8795ec31e5c5,0,bdjjfqzi,9.0,9.0,0,24
f339a280-e835-4165-be41-5cda6fb1604f,0,mstla4sl,8.0,6.0,0,45
5b7a516e-a054-4a70-a679-25ff3c8b9387,0,rs0ndqy1,6.0,8.0,0,90
999b17bd-a73b-4459-849b-c8dbd3e6a675,0,efa7ezro,1.0,1.0,0,100
5df32bc6-8006-44c6-a9bc-802e01cc59ff,1,10vnryfv,4.0,5.0,52,50
863d7eaf-eb05-4d14-8804-6123d8c04d86,0,vwyvkub0,2.0,2.0,0,89
74655c74-6359-4c3b-8289-426d98d20e9d,0,ifcqii9p,7.0,5.0,0,25
997db0f8-af39-4881-b5b2-1aa64dd16030,0,d64g811x,8.0,8.0,0,15
971f10d3-df07-40be-903a-6294cf6fefb0,1,t8gmqpqy,7.0,9.0,100,10
09ed07b3-c272-4911-94c2-acf51d8ab921,0,tc3hh27n,7.0,7.0,0,75
a5615afe-5b88-4d8a-81c4-0d30c05c0a8e,0,mue6atm8,3.0,3.0,49,25
6dc842a7-8156-42a7-80fa-d26f74b0d86b,1,3bj06sl8,6.0,3.0,50,100
02bb7805-ba49-420a-be49-5f52f1d4b79e,1,35tjqp0z,7.0,7.0,85,34
92aeebce-c4f4-4c12-bcfe-787e838884ea,0,mrfb0o5k,2.0,2.0,2,90
4bf14b3e-f54f-412f-91f0-e218adf085dc,1,akyujfsa,5.0,6.0,65,70
4c7846f7-f65a-482c-8d57-70c1b2a4a7a0,0,vjtgs23b,9.0,9.0,0,88
53c1820d-c840-40af-a8b9-7af9bc6bdc7c,0,nwyg3hg7,7.0,8.0,0,60
3fb759ca-fc3c-4202-890f-db5b2ea26e75,0,1ukgn5ed,3.0,3.0,50,74
d2b204e3-3cd9-474f-aa05-f5fdc88aa015,0,70trlqf1,5.0,5.0,0,100
6edb9f32-adf8-4513-8b2b-0615980a16df,1,vcylctfc,6.0,4.0,74,94
22988fde-8e34-4df8-ab1e-d1da1057c457,1,8jue4p2n,2.0,3.0,50,25
85b548af-6c23-4d18-a400-7196d80c4462,1,pr6pr1n0,1.0,9.0,100,100
7da4409b-f062-4c75-a10c-55ee1a4de7a8,1,rdsmhbk8,2.0,8.0,99,5
ab650f9e-6a50-4098-a8e2-9dd4c4785a96,1,vjesfyak,6.0,8.0,75,50
84184ee1-7a24-4886-aaf7-420b19187f40,0,td5gcrhm,7.0,7.0,0,69
b7c28702-7a1c-4e82-9b92-4422a60440d0,0,a9ebe0mc,5.0,5.0,0,50
38a2d8c1-7619-4270-810d-97a31ce893ea,1,31p68g3v,4.0,2.0,25,6
68b178f0-c784-469d-8357-bf71ba6b4137,1,2pytliij,8.0,8.0,91,46
3e5480ae-186e-4ae5-84fa-45eff245ad5d,1,81fxgj6x,4.0,1.0,25,70
d66d4109-fa0d-437d-9c8e-c69759aaf368,0,9fl2tsy4,4.0,3.0,100,20
1037d4e2-3036-469d-89fc-b7d7baf79b29,1,vjlplqv7,5.0,6.0,100,50
c15212c3-b4d9-4f11-81d8-dd8cdca30d5b,1,dlp4we39,5.0,5.0,40,50
883982ae-c0f6-4795-9421-aa2768ea16e6,0,qd24e6q3,9.0,9.0,0,25
a03cdd05-0ec9-4484-aedd-79fc1b41e8c1,0,np8pqoe5,7.0,8.0,0,10
b299254c-cd49-4610-806d-4b53512d3e92,1,67dpy2sa,3.0,3.0,38,94
e588666a-a560-466e-8494-aa64a1d06807,1,y829diax,2.0,1.0,5,75
f3a0bc3c-e9c3-4c94-9c0d-611e7a26b49b,0,yqmsqfs6,9.0,9.0,0,37
